pre_village,pre_district,Pre_cluster,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield
Kirama,Mitooma,,1134.0,38,30.0,0.28,,,,,,,,,,,
Kibishamwika,Mitooma,,1301.0,70,50.0,2.9,50.0,,,,,,,5.0,,,100.0
Rutoobo,Mitooma,,1114.0,50,4.0,1.75,,,,,,,,,,,
Nyabyondo_Rwoburunga,Mitooma,,1293.0,41,60.0,0.65,,,,,,,,,,,
Rushoroza,Mitooma,,1171.0,60,30.0,4.75,150.0,,,,,,,,,,
Rwemirama,Mitooma,,0.0,41,60.0,0.38,,,,,,,,,,72.0,
Rwongora,Mitooma,,1599.0,42,120.0,0.7,100.0,,2.0,,,,,2.0,,,0.0
Nyabubaare,Mitooma,,0.0,38,60.0,0.4,140.0,,,100.0,,,,,,,
Kengyeya,Mitooma,,0.0,67,30.0,0.0,,,,,,,,,,,
Kamabare,Mitooma,,0.0,25,60.0,0.25,35.0,,,,,,,,,30.0,50.0
Nyabubaare,Mitooma,,0.0,30,60.0,0.6,,,,,,,,,20.0,,70.0
Kagati_Kiyanga,Mitooma,,0.0,43,60.0,0.25,,,,,,,,,,0.0,10.0
Kafunjo,Mitooma,,0.0,29,50.0,0.28,30.0,,,,,,,,,,
Rwoburunga,Mitooma,,1214.0,25,30.0,0.5,,,,,,,,,,0.0,
Kisiizi_2,Mitooma,,1153.0,45,30.0,0.75,,,4.0,,,,,,,,
Rwongora,Mitooma,,1567.0,45,120.0,0.2,100.0,,,,,,,11.0,62.0,50.0,
Kakyeza,Mitooma,,1165.0,36,60.0,0.25,50.0,,,,75.0,64.0,,3.0,,0.0,0.0
Bukiriro_2,Mitooma,,1170.0,64,50.0,0.475,,,,,,,,,,,
Rutoobo,Mitooma,,1157.0,21,60.0,0.0,,,,,,,,,,,
Rushoroza,Mitooma,,1202.0,36,10.0,0.49975,30.0,,,,,,,5.0,105.0,,
Kamabare,Mitooma,,1121.0,30,120.0,0.25,110.0,,,,,,,,,40.0,40.0
Orujeebe,Mitooma,,1667.0,70,30.0,0.15,,,,,,,,,,,
Kyemengo,Mitooma,,1170.0,30,120.0,0.25,,,,,,,,,,,
Rushoroza,Mitooma,,1083.0,24,30.0,0.0,65.0,,,,,120.0,,,,,
Ndurumo_Rwoburunga,Mitooma,,1168.0,61,120.0,0.05,65.0,,,,,120.0,,,,,
Kibishamwika,Mitooma,,1236.0,90,120.0,0.3,,,,,,,,,,50.0,
Ruzonga,Mitooma,,1146.0,45,120.0,0.05,90.0,,,,,,,,,,
Rwemirama,Mitooma,,0.0,51,60.0,0.2,62.0,,,,,,,,,120.0,
Kagati_Kiyanga,Mitooma,,0.0,56,60.0,0.25,,,,,,,,,,30.0,100.0
Nyakashebeya,Mitooma,,1102.0,23,30.0,0.0,100.0,,,,,,,,,,
Rugando_Rwanja,Mitooma,,1557.0,52,60.0,0.75,,,,,,,,,,60.0,
Orujeebe,Mitooma,,0.0,45,20.0,0.6,,,,,,,,,,,
Kafunjo,Mitooma,,0.0,38,30.0,2.75,,,,,,,,,,,150.0
Kanganga,Mitooma,,1623.0,75,20.0,0.825,90.0,,,,,,,7.0,,,
Kafunjo,Mitooma,,0.0,46,70.0,1.78,80.0,20.75,,,,,,3.0,,,
Nyarwanya_Rwanja,Mitooma,,1627.0,41,60.0,0.75,140.0,,,,,,,,,50.0,
Ndurumo_Rwoburunga,Mitooma,,1169.0,60,15.0,5.75,,,,,,,,,,40.0,10.0
Rushoroza,Mitooma,,1199.0,40,60.0,0.0,,,,,,,,,,,
Ndurumo_Rwoburunga,Mitooma,,1176.0,50,35.0,1.25,43.0,,,,,,,,,70.0,50.0
Kisiizi_1,Mitooma,,1151.0,56,15.0,0.75,45.0,,,,,,,,,15.0,50.0
Kairabwa,Mitooma,,0.0,50,60.0,0.95,,,,,,,,,,0.0,0.0
Bukiriro_1,Mitooma,,1116.0,48,10.0,2.75,,,,,,,,,,65.0,80.0
Kairabwa,Mitooma,,1187.0,48,50.0,0.75,,,,,,,,,,55.0,
Ruzonga,Mitooma,,1116.0,43,60.0,1.25,85.0,,,,,,,,,,
Kakimba,Mitooma,,1233.0,36,30.0,0.35,,,,,,,,,,,100.0
Nyanga,Mitooma,,1158.0,34,40.0,0.25,,,,,,,,,,40.0,2.0
Orujeebe,Mitooma,,0.0,24,30.0,0.55,,,,,,,,,,,
Rutoobo,Mitooma,,1153.0,20,30.0,0.3,,,,,,,,,,,
Orujeebe,Mitooma,,0.0,51,60.0,0.8,,,,,,,,,,,
Rushoroza,Mitooma,,1212.0,29,40.0,0.25,95.0,,,,,,,,,,
Kyemengo,Mitooma,,1148.0,30,60.0,1.3,,,,,,,,,,,
Ruzonga,Mitooma,,1154.0,34,30.0,0.75,,,,,,,,,,,
Kisiizi_1,Mitooma,,0.0,26,60.0,1.25,55.0,,3.0,,,,,6.0,,,15.0
Kisiizi_1,Mitooma,,0.0,33,90.0,1.25,35.0,,1.5,,,,,,,,400.0
Kairabwa,Mitooma,,0.0,46,60.0,1.5,55.0,,,,,,,3.0,,0.0,
Rugando_Rwanja,Mitooma,,1623.0,42,30.0,0.85,,,,,,,,,,,
Bukiriro_2,Mitooma,,1142.0,60,20.0,0.75,35.0,,,,,,,,,,210.0
Ruzonga,Mitooma,,1127.0,37,60.0,0.75,,,,,,,,,,20.0,
Bukiriro_2,Mitooma,,1138.0,68,20.0,0.5,35.0,,,,,,,,,,100.0
Nyakashebeya,Mitooma,,1036.0,37,30.0,2.75,130.0,,,,,,,3.0,,,
Rwoburunga,Mitooma,,1209.0,23,40.0,0.25,,,,,,,,,,20.0,
Kyabukama,Mitooma,,1566.0,50,60.0,1.0,135.0,,6.0,,,,,7.0,65.0,,
Nyakagongo,Mitooma,,0.0,85,60.0,0.75,100.0,,4.0,,,,,7.0,,35.0,200.0
Kanganga,Mitooma,,0.0,80,30.0,1.25,70.0,,2.5,,,,,8.0,,,
Kafunjo,Mitooma,,0.0,57,50.0,0.25,,,,,,,,,,30.0,150.0
Nyarwanya_Rwanja,Mitooma,,1627.0,31,25.0,0.35,,,,,,,,,,,
Orujeebe,Mitooma,,1641.0,28,40.0,0.0,90.0,,,,,,,,,,0.0
Kamabare,Mitooma,,1121.0,32,60.0,0.75,80.0,,,,,,,4.0,,50.0,150.0
Nyanga,Mitooma,,2.0,40,60.0,0.5,,,,,,,,,,,
Kirama,Mitooma,,0.0,60,60.0,0.6,120.0,,,,,,,,,,
Rwongora,Mitooma,,1604.0,67,60.0,3.9,140.0,20.0,,,,,,,,15.0,50.0
Kashambya,Mitooma,,1143.0,75,30.0,1.9,,,,,,,,,,,
Kyeshabo,Mitooma,,0.0,27,30.0,0.0,45.0,,,,,,,,,,
Kirama,Mitooma,,0.0,70,40.0,4.75,75.0,,,,,110.0,,,,50.0,
Kyemengo,Mitooma,,1140.0,26,30.0,0.0,165.0,,,,,,,,,,
Kamabare,Mitooma,,1127.0,34,120.0,0.75,110.0,,,,,,,,,40.0,
Rwoburunga,Mitooma,,1158.0,22,20.0,0.75,,,,,,,,,,30.0,45.0
Rwakutaka,Mitooma,,1578.0,38,60.0,1.9,,,,,,,,,,50.0,
Rutoobo,Mitooma,,1157.0,55,30.0,3.0,60.0,,,,,,,,,,120.0
Bukiriro_1,Mitooma,,1128.0,32,30.0,1.25,,,,,,,,,,15.0,2.0
Nyanga,Mitooma,,2.0,34,20.0,0.75,47.0,,,,,,,,,0.0,0.0
Kirama,Mitooma,,0.0,35,60.0,0.83,100.0,,,,,,,5.0,,,
Nyanga,Mitooma,,1156.0,90,40.0,0.75,,,,,,,,,,25.0,2.0
Rwoburunga,Mitooma,,1157.0,80,20.0,9.75,95.0,,,,,,,,,45.0,
Bukiriro_1,Mitooma,,1130.0,25,30.0,0.25,,,,,,,,,,0.0,
Bukiriro_2,Mitooma,,1145.0,55,40.0,0.25,60.0,,,,,,,,,55.0,50.0
Nyabyondo_Rwoburunga,Mitooma,,1257.0,52,10.0,0.15,,,,,,,,,,40.0,15.0
Nyamisheshe,Mitooma,,1634.0,38,60.0,0.075,150.0,,,,,,,3.0,,3.0,40.0
Ndurumo_Rwoburunga,Mitooma,,1164.0,54,30.0,4.75,100.0,,,,,,,,,60.0,
Nyakashebeya,Mitooma,,1099.0,42,30.0,5.25,,,,,,,,,,,150.0
Nyabubaare,Mitooma,,1084.0,22,60.0,0.75,,,,,,,,,,,
Kashambya,Mitooma,,1145.0,46,120.0,0.8,,,,,,,,,,,
Rutoobo,Mitooma,,1130.0,41,120.0,1.75,130.0,,,,,,,,,,
Rwongora,Mitooma,,1569.0,50,120.0,0.8,60.0,,,,,,,,,50.0,50.0
Kakyeza,Mitooma,,1604.0,58,60.0,0.75,,,,,,,,,,70.0,2.0
Ndurumo_Rwoburunga,Mitooma,,1173.0,44,30.0,0.75,,,,,,,,,,75.0,80.0
Rugando_Rwanja,Mitooma,,1610.0,33,60.0,0.65,45.0,,,,,,,1.0,,30.0,
Ndurumo_Rwoburunga,Mitooma,,1170.0,27,15.0,0.25,,,,,,,,,,36.0,2.0
Ruzonga,Mitooma,,1123.0,42,2.0,0.8,70.0,,,,,,,,,30.0,
Rwoburunga,Mitooma,,1184.0,67,30.0,1.75,,,,,,,,,,30.0,
Nyaruzinga,Mitooma,,1693.0,52,30.0,0.75,35.0,,,,,,,,,50.0,40.0
Kakyeza,Mitooma,,1165.0,40,60.0,0.75,13.0,,2.0,,,,,1.0,17.0,0.0,
Muzinga,Mitooma,,1162.0,29,40.0,1.9,35.0,,,,,,,,,150.0,40.0
Kafunjo,Mitooma,,0.0,26,60.0,2.75,,,,,,,,,,,70.0
Rwongora,Mitooma,,1660.0,40,15.0,0.4,,,,,,,,,,100.0,
Kyemengo,Mitooma,,1152.0,47,90.0,1.75,,,,,,,,,,,
Kafunjo,Mitooma,,0.0,35,45.0,1.75,,,,,,,,,,,200.0
Rwoburunga,Mitooma,,1224.0,48,30.0,0.25,,,,,,,,,,35.0,1.0
Kairabwa,Mitooma,,1176.0,24,20.0,0.25,,,,,,,,,,50.0,1.0
Kakimba,Mitooma,,1096.0,76,60.0,0.875,,,,,,,,,,30.0,60.0
Kirama,Mitooma,,1146.0,25,30.0,0.97,,,,,,,,,,0.0,
Karokarungi,Mitooma,,0.0,31,60.0,0.85,,,,,,,,,,,
Kibishamwika,Mitooma,,1250.0,30,120.0,2.8,220.0,,2.0,,,,,2.5,,,
Nyakagongo,Mitooma,,1276.0,58,45.0,0.65,80.0,20.75,,,,,,3.0,,15.0,80.0
Kashambya,Mitooma,,1154.0,41,10.0,1.5,,,,,,,,,,,60.0
Nyabubaare,Mitooma,,0.0,23,60.0,1.8,,,,,,,,,,,
Kibishamwika,Mitooma,,1256.0,53,120.0,0.8,180.0,,2.0,,,,,2.5,,30.0,100.0
Ndurumo_Rwoburunga,Mitooma,,1170.0,42,15.0,0.25,,,,,,,,,,100.0,50.0
Kirama,Mitooma,,1104.0,36,15.0,0.0,62.0,,,,35.0,,,,,,120.0
Nyarwanya_Rwanja,Mitooma,,1642.0,43,30.0,9.75,60.0,,,,,,,,,,
Bukiriro_1,Mitooma,,1121.0,30,30.0,1.75,,,,,,,,,,60.0,2.0
Rwakutaka,Mitooma,,1562.0,34,15.0,0.9,,,,,,,,0.9,,,
Kanganga,Mitooma,,0.0,35,30.0,0.75,48.0,,2.5,,,,,4.0,,160.0,60.0
Nyamisheshe,Mitooma,,0.0,48,40.0,1.25,145.0,,4.0,,,,,10.0,,50.0,50.0
Rwongora,Mitooma,,1630.0,40,120.0,0.3,180.0,,,,,,,2.0,,55.0,50.0
Nyamisheshe,Mitooma,,0.0,64,60.0,0.25,,,,,,,,,,,
Kyeshabo,Mitooma,,0.0,39,15.0,1.85,40.0,,,,,85.0,,3.0,,48.0,
Nyabyondo_Rwoburunga,Mitooma,,1368.0,60,15.0,0.4375,,,,,,,,,,50.0,
Rwongora,Mitooma,,1573.0,66,20.0,1.9,,,,,,,,,,120.0,
Bukiriro_1,Mitooma,,1118.0,49,60.0,1.75,160.0,,,,,,,,,55.0,
Kakimba,Mitooma,,1095.0,45,15.0,0.4375,,,,,,,,,,,10.0
Kamabare,Mitooma,,0.0,25,30.0,0.75,60.0,,,,,,,,,,100.0
Karukare,Mitooma,,0.0,35,60.0,0.25,140.0,,,,,,,,,,
Nyarwanya_Rwanja,Mitooma,,1645.0,80,15.0,1.25,,,,,,,,,,,90.0
Rwakutaka,Mitooma,,1585.0,35,10.0,0.65,55.0,,5.0,,,,,,,110.0,
Kashambya,Mitooma,,1140.0,94,120.0,2.8,110.0,,20.0,,,,,,,,
Nyakagongo,Mitooma,,0.0,58,80.0,0.25,110.0,,3.0,,,,,7.0,,30.0,60.0
Muzinga,Mitooma,,1157.0,33,120.0,2.8,,,4.0,,,,,3.5,,25.0,200.0
Nyakagongo,Mitooma,,0.0,43,120.0,1.75,135.0,,6.0,,,,,7.0,65.0,,
Kisiizi_2,Mitooma,,1142.0,34,60.0,0.75,85.0,,,,,,,,,,
Ruzonga,Mitooma,,1132.0,34,40.0,1.75,,,,,,,,,,,
Nyakagongo,Mitooma,,1280.0,35,60.0,0.325,,,,,,,,,,50.0,120.0
Nyanga,Mitooma,,1153.0,44,30.0,0.75,,,,,,,,,,,5.0
Kengyeya,Mitooma,,0.0,76,60.0,1.75,310.0,,,,,,,3.0,,,
Kyabukama,Mitooma,,1623.0,30,10.0,0.8,310.0,,,,,,,3.0,,,
Nyarwanya_Rwanja,Mitooma,,1628.0,99,30.0,0.9375,310.0,,,,,,,3.0,,,
Kirama,Mitooma,,0.0,40,80.0,0.8,310.0,,,,,,,3.0,,,
Kakyeza,Mitooma,,1646.0,64,60.0,0.75,,,,,,,,,,50.0,
Nyabubaare,Mitooma,,1121.0,50,60.0,0.75,,,,,,,,,,,
Bukiriro_2,Mitooma,,1129.0,45,40.0,1.9975,43.0,,,,,,,,,,300.0
Muzinga,Mitooma,,1151.0,41,120.0,4.8,,,2.0,,,,,,,,100.0
Kengyeya,Mitooma,,0.0,47,30.0,4.75,130.0,,,,,,,,,,
Nyabyondo_Rwoburunga,Mitooma,,1288.0,39,30.0,0.85,,,,,,,,,,,
Rwongora,Mitooma,,1569.0,31,20.0,0.4,140.0,,,,,,,,,150.0,50.0
Kashambya,Mitooma,,1159.0,70,120.0,0.3,85.0,,,,,,,,,25.0,
Kisiizi_1,Mitooma,,0.0,49,60.0,1.0,,,2.5,,,,,9.0,,0.0,
Nyamisheshe,Mitooma,,0.0,39,60.0,1.0,110.0,,3.5,,,,,5.0,,15.0,2.0
Rwakutaka,Mitooma,,1603.0,85,20.0,1.8,,,,,,,,,,0.0,0.0
Nyakashebeya,Mitooma,,1073.0,45,14.0,2.75,,,,,,,,,,,
Rwongora,Mitooma,,1610.0,80,120.0,0.8,130.0,,,,,,,,,,60.0
Rwakutaka,Mitooma,,1593.0,37,10.0,2.3,,,,,,,,,,40.0,
Rubaya,Mitooma,,1068.0,42,30.0,0.25,35.0,,,,,,,,,0.0,0.0
Nyabyondo_Rwoburunga,Mitooma,,1456.0,29,25.0,2.3,140.0,,,,,,,,,50.0,50.0
Rwemirama,Mitooma,,0.0,50,30.0,0.0,80.0,,,,,,,,,40.0,40.0
Kagati_Kiyanga,Mitooma,,0.0,49,60.0,1.75,,,,,,,,,,,
Nyamisheshe,Mitooma,,1599.0,65,30.0,1.75,100.0,,2.0,,,,,2.0,,70.0,
Nyabyondo_Rwoburunga,Mitooma,,1304.0,22,15.0,0.5,,,,,,,,,,,15.0
Karukare,Mitooma,,1693.0,82,5.0,0.75,,,,,,,,,,50.0,
Nyarwanya_Rwanja,Mitooma,,1625.0,34,30.0,0.4,310.0,,,,,,,3.0,,50.0,
Nyarwanya_Rwanja,Mitooma,,1602.0,63,50.0,0.3,100.0,,,,,,,,,56.0,1.0
Nyakashebeya,Mitooma,,1094.0,56,30.0,1.975,,,,,,,,,,,
Bukiriro_2,Mitooma,,1144.0,39,60.0,1.9975,140.0,20.0,,,,,,,,40.0,
Nyarwanya_Rwanja,Mitooma,,1623.0,27,28.0,2.25,75.0,,,,,,,,,,
Kibishamwika,Mitooma,,1244.0,50,10.0,1.9,,,,,,,,,,,
Nyabyondo_Rwoburunga,Mitooma,,1277.0,65,15.0,0.4375,,,,,,,,,,,100.0
Nyakagongo,Mitooma,,0.0,42,60.0,0.5,110.0,,,,,,,10.0,,,100.0
Karukare,Mitooma,,0.0,36,60.0,1.75,,,,,,,,,,40.0,15.0
Nyabyondo_Rwoburunga,Mitooma,,1256.0,54,10.0,0.85,65.0,,,,,,,,,,
Rwemirama,Mitooma,,0.0,40,120.0,1.83,75.0,,,,,,,,,45.0,
Kairabwa,Mitooma,,0.0,75,40.0,3.0,120.0,,,,,,,,,40.0,40.0
Rubaya,Mitooma,,0.0,28,60.0,0.75,,,2.0,,,,,,105.0,,
Kyabukama,Mitooma,,1611.0,32,30.0,0.25,120.0,,,,,,,,,40.0,
Nyamisheshe,Mitooma,,1609.0,41,15.0,0.825,100.0,,,,,,,7.0,,60.0,0.0
Kakyeza,Mitooma,,1689.0,50,60.0,0.75,80.0,,,,,,,,,70.0,50.0
Nyamisheshe,Mitooma,,0.0,48,60.0,0.75,100.0,,2.0,,30.0,,,8.0,,,
Kashambya,Mitooma,,1155.0,63,30.0,3.9,110.0,,20.0,,,,,,,,
Nyanga,Mitooma,,1173.0,59,40.0,1.5,140.0,,,,,,,,85.0,79.0,
Rugando_Rwanja,Mitooma,,1618.0,60,20.0,0.8,,,,,,,,1.8,,20.0,50.0
Kairabwa,Mitooma,,1176.0,64,50.0,1.75,35.0,,,,,,,,,72.0,
Kakimba,Mitooma,,1070.0,24,30.0,0.35,,,,,,,,,,,2.0
Rwemirama,Mitooma,,0.0,42,70.0,0.6,140.0,,,,,,,,,35.0,200.0
Kagati_Kiyanga,Mitooma,,0.0,27,60.0,1.75,,,,,,,,,,,100.0
Kakimba,Mitooma,,1199.0,43,40.0,1.875,40.0,,,,,,,8.0,,,
Bukiriro_1,Mitooma,,1118.0,53,60.0,4.75,330.0,,,,,,,,,,
Nyamisheshe,Mitooma,,0.0,35,30.0,0.75,170.0,,3.5,,,,,12.0,,25.0,2.0
Rwemirama,Mitooma,,0.0,22,60.0,0.0,,,,,,,,,,30.0,120.0
Kisiizi_2,Mitooma,,1181.0,41,30.0,0.25,350.0,,,,,,,,,70.0,
Karukare,Mitooma,,0.0,21,60.0,0.25,,,,,,,,,,40.0,
Bukiriro_1,Mitooma,,1111.0,24,30.0,0.5,,,,,,,,,,30.0,50.0
Nyaruzinga,Mitooma,,1661.0,72,30.0,2.75,,,,,,,,,,30.0,150.0
Kakyeza,Mitooma,,1165.0,60,60.0,1.75,140.0,20.0,,,,,,,,,
Kanganga,Mitooma,,0.0,82,40.0,1.75,92.0,,,,,,,,,60.0,
Rubaya,Mitooma,,1134.0,17,30.0,2.75,,,,,,,,,,,
Kafunjo,Mitooma,,0.0,38,30.0,0.75,130.0,,,,,,,,,,30.0
Nyamisheshe,Mitooma,,0.0,42,60.0,1.75,200.0,,3.0,,,,,7.0,,120.0,
Nyarwanya_Rwanja,Mitooma,,1650.0,34,20.0,2.25,145.0,,,,,,,,,48.0,
Rugando_Rwanja,Mitooma,,1610.0,61,30.0,0.25,190.0,,,,,,,,,0.0,
Karukare,Mitooma,,1675.0,35,20.0,1.25,,,,,,,,,,,
Rugando_Rwanja,Mitooma,,1165.0,67,60.0,1.5,55.0,,,,,,,2.0,,,210.0
Orujeebe,Mitooma,,1615.0,90,30.0,2.17,,,,,,,,,,0.0,
Kanganga,Mitooma,,1644.0,50,30.0,2.75,100.0,,,,,,,13.0,,,
Kyabukama,Mitooma,,1575.0,80,20.0,1.0,,,,,,,,,,4.0,
Kanganga,Mitooma,,1663.0,60,60.0,0.75,80.0,,,,,,,,,30.0,45.0
Rwakutaka,Mitooma,,1592.0,22,15.0,0.875,,,,,,,,,,0.0,
Nyakagongo,Mitooma,,0.0,60,40.0,2.75,105.0,,6.0,,,,,8.0,,65.0,80.0
Nyaruzinga,Mitooma,,1664.0,46,30.0,2.75,,,,,,,,,,0.0,0.0
Bukiriro_2,Mitooma,,1155.0,60,30.0,0.5,25.0,,,,,,,,,,2.0
Nyaruzinga,Mitooma,,1719.0,50,30.0,4.75,85.0,,,,,,,,,10.0,50.0
Kyeshabo,Mitooma,,0.0,38,60.0,2.5,,,,,,,,,,,300.0
Kanganga,Mitooma,,1663.0,58,45.0,4.5,180.0,,,,,,,5.0,,20.0,50.0
Ndurumo_Rwoburunga,Mitooma,,1165.0,31,15.0,0.3,,,,,,,,,,,
Nyabyondo_Rwoburunga,Mitooma,,1268.0,36,40.0,6.75,42.0,,,,,,,,15.0,0.0,10.0
Nyabyondo_Rwoburunga,Mitooma,,1397.0,32,5.0,0.875,70.0,,,,13.0,,,9.0,,,
Kisiizi_1,Mitooma,,1167.0,28,20.0,0.65,40.0,,,,,85.0,,3.0,,,150.0
Karukare,Mitooma,,1674.0,63,40.0,1.25,310.0,,,,,,,3.0,,120.0,
Rugando_Rwanja,Mitooma,,1707.0,33,30.0,1.85,,,,,,,,,,0.0,
Kisiizi_2,Mitooma,,1141.0,57,60.0,0.25,50.0,,,,,,,4.0,,,400.0
Nyakagongo,Mitooma,,1277.0,44,30.0,0.825,115.0,,,,,,,3.0,,150.0,500.0
Rwakutaka,Mitooma,,1607.0,58,60.0,1.875,135.0,,2.0,,,,,12.0,,100.0,100.0
Karukare,Mitooma,,0.0,51,15.0,1.75,150.0,,,,,,,,,200.0,
Rwakutaka,Mitooma,,1554.0,35,30.0,1.875,90.0,,,,,150.0,,,,80.0,200.0
Kisiizi_1,Mitooma,,0.0,50,60.0,3.5,60.0,,,,,,,,,,800.0
Kashambya,Mitooma,,1140.0,26,120.0,0.8,80.0,,,,,,,,,,
Karukare,Mitooma,,0.0,70,60.0,5.75,,,,,,,,,,100.0,300.0
Nyabyondo_Rwoburunga,Mitooma,,1393.0,57,5.0,0.875,60.0,,,,,,,7.0,,100.0,200.0
Rwakutaka,Mitooma,,1606.0,60,60.0,2.375,80.0,,,,,,,,,100.0,500.0
Kairabwa,Mitooma,,1202.0,39,40.0,1.75,45.0,,,,,,,,,90.0,7.0
Kanganga,Mitooma,,1705.0,72,10.0,6.75,,,,,,,,4.0,,40.0,40.0
Nyakagongo,Mitooma,,1281.0,36,15.0,4.75,150.0,,,,,,,3.0,,50.0,375.0
Nyaruzinga,Mitooma,,1722.0,60,20.0,1.75,90.0,,,,,,,,,52.0,
Karukare,Mitooma,,1676.0,42,30.0,0.25,120.0,,,,,,,,,40.0,
Rwakutaka,Mitooma,,1534.0,35,60.0,0.85,,,,,,,,,,200.0,60.0
Kakimba,Mitooma,,1079.0,60,40.0,2.75,80.0,,,,,,,6.0,,100.0,1000.0
Rugando_Rwanja,Mitooma,,1613.0,31,30.0,1.875,160.0,,,,,,,6.0,,80.0,200.0
Kashambya,Mitooma,,1141.0,46,120.0,1.3,180.0,,,,,,,,,50.0,600.0
Kagati_Kiyanga,Mitooma,,0.0,49,30.0,13.75,,,,,,,,,,,
Kibishamwika,Mitooma,,1215.0,55,30.0,1.9,90.0,,,,,,,,,360.0,400.0
Rushoroza,Mitooma,,1152.0,63,15.0,1.975,36.0,,,,,,,,,,1800.0
Kibishamwika,Mitooma,,1237.0,36,40.0,2.9,110.0,,,,,,,,,300.0,300.0
Nyabubaare,Mitooma,,0.0,45,120.0,1.1,35.0,,,,,,,,,360.0,60.0
Kyabukama,Mitooma,,1583.0,40,60.0,1.0,100.0,,,,,,,,,,
Rwemirama,Mitooma,,0.0,39,60.0,0.45,130.0,,,,,,,,,,
Nyakashebeya,Mitooma,,1087.0,70,30.0,4.75,,,,,,,,,,,
Nyabyondo_Rwoburunga,Mitooma,,1364.0,59,20.0,1.875,130.0,,,,,,,8.0,,80.0,
Kashambya,Mitooma,,1151.0,29,45.0,1.4,,,,,,,,,,150.0,
