pre_village,GPS-Altitude,hhh_age,Land_size_agriculture,Time_to_collect_Water_for_Household_use_Minutes,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort
Aswa,1274.3454545454545,57.18181818181818,0.6463636363636364,65.45454545454545,209.66666666666666,13.0,,,177.0,,,11.5,,33.75,27.0,2022.0
Bibuye,1331.625,43.166666666666664,1.2916666666666667,49.166666666666664,138.71428571428572,2.2,10.0,,178.14285714285714,,,7.166666666666667,,18.4,32.0,2022.0
Bigandu,2285.211111111111,41.888888888888886,2.211388888888889,71.11111111111111,212.0,17.625,,,,,,,,,,2022.0
Bikungu,566.6583333333333,47.0,0.5458333333333333,67.5,83.11111111111111,,,,,,,,44.25,82.5,48.0,2022.0
Bisiika_A,1778.9750000000001,42.75,1.4083333333333332,23.333333333333332,75.33333333333333,,,,,,,10.777777777777779,,96.81818181818181,66.36363636363636,2022.0
Bisiika_B,1710.1499999999999,54.833333333333336,0.9229166666666667,40.0,85.7,,,,,,,10.0,,79.0,70.5,2022.0
Bubalala,1024.8041666666666,53.375,1.3222222222222222,62.166666666666664,33.0,,,,456.9230769230769,144.0,,6.5,,3.0,,2022.0
Budongo,1035.5249999999999,40.916666666666664,1.2828947368421053,40.291666666666664,24.5,,37.0,,425.75,192.5,,4.0,,12.75,45.0,2022.0
Bugada_Gadumire,982.9354838709677,42.58064516129032,0.8333333333333334,50.25806451612903,,,8.0,112.0,240.0,,,,6.0,21.666666666666668,30.0,2022.0
Bugandaro_Kacerere,2238.4500000000003,51.0,0.5208333333333334,64.16666666666667,131.41666666666666,16.25,,,,,,4.6875,,16.5,22.0,2022.0
Bugandaro_Kagunga,2037.7333333333333,52.333333333333336,1.2858333333333334,31.0,151.66666666666666,4.0,,,,,,4.458333333333333,,12.75,,2022.0
Bugara_Kagunga,2034.925,49.916666666666664,1.60625,40.0,189.0,15.5,,155.4,,,,10.333333333333334,,20.0,,2022.0
Bugomora_Kishanje,2166.409090909091,47.63636363636363,0.7090909090909091,81.81818181818181,146.66666666666666,14.0,,,,,,4.611111111111111,,8.75,,2022.0
Bugonya,1063.8192307692307,37.19230769230769,1.7666666666666668,42.80769230769231,56.0,,11.5,,178.4,75.0,,6.0,,22.875,,2022.0
Bugoro,911.6833333333334,47.666666666666664,1.0866666666666667,31.166666666666668,65.0,,,,21.666666666666668,,,,,35.0,0.0,2022.0
Buhamba,1438.2416666666668,55.166666666666664,1.6510416666666667,28.333333333333332,118.75,,,,195.375,,,,,172.5,140.0,2022.0
Buhanyura,1960.9,51.09090909090909,1.2336363636363636,20.454545454545453,101.5,7.5,,,75.0,,,7.611111111111111,,16.0,,2022.0
Buhoma,1434.7333333333333,46.916666666666664,1.9645833333333333,10.666666666666666,88.25,,87.66666666666667,,,110.0,,6.333333333333333,80.0,98.54545454545455,40.0,2022.0
Buhumuliro  A,1108.5583333333334,47.333333333333336,2.6927083333333335,69.5,213.7,,,,580.0,,,,110.0,67.5,0.0,2022.0
Bukere,1025.6909090909091,47.24242424242424,1.3299999999999998,62.515151515151516,46.666666666666664,,4.25,,550.5882352941177,80.0,,3.3333333333333335,,6.555555555555555,28.0,2022.0
Bunabiro,1055.2821428571428,41.357142857142854,1.608,88.42857142857143,61.25,,42.0,,322.0,74.5,,85.75,,11.444444444444445,,2022.0
Bunagana,2095.2727272727275,41.90909090909091,1.5545454545454547,75.0,92.54545454545455,7.0,,,,,,6.0,,6.6,0.0,2022.0
Buniga,2063.746153846154,48.46153846153846,0.8638461538461539,27.307692307692307,152.08333333333334,18.166666666666668,,,,,,4.055555555555555,,20.444444444444443,,2022.0
Bunyinya,1653.675,51.5,1.5458333333333334,30.833333333333332,145.0,,,,,,,20.0,,55.0,45.875,2022.0
Burebane_Rwanja_West,1404.2166666666665,51.083333333333336,0.8541666666666666,38.333333333333336,63.0,,1.0,,200.0,,,1.5,,49.285714285714285,13.2,2022.0
Buremba,1959.3833333333332,43.833333333333336,0.9333333333333332,40.166666666666664,130.54545454545453,,,,,,,6.1,,8.285714285714286,,2022.0
Busege,966.5400000000001,35.5,1.55,67.06666666666666,67.5,,83.3,,382.4761904761905,90.0,,,,20.714285714285715,,2022.0
Buseru,1028.6911764705883,39.588235294117645,0.7177083333333334,77.6470588235294,55.0,,5.4,,431.36842105263156,,,,,40.8,190.0,2022.0
Buseta,1033.662962962963,39.0,1.3199999999999998,42.592592592592595,115.0,,25.5,,335.2307692307692,33.0,,4.0,,7.545454545454546,150.0,2022.0
Bushaara,2090.5636363636363,45.81818181818182,2.326363636363636,96.36363636363636,195.55555555555554,10.666666666666666,,,,,,11.166666666666666,,41.5,500.0,2022.0
Bushambara,2022.0333333333335,53.833333333333336,1.6208333333333333,37.75,240.41666666666666,,,346.25,,,,173.16666666666666,,30.0,,2022.0
Bushure,1998.0,54.333333333333336,0.5833333333333334,71.66666666666667,129.36363636363637,9.0,,192.5,,,,4.4,,21.0,,2022.0
Busiginyi,1032.0538461538463,42.30769230769231,0.9522727272727273,45.07692307692308,120.0,,43.65,,581.0588235294117,135.0,,4.333333333333333,,12.0,60.0,2022.0
Busiro,1043.0454545454545,42.878787878787875,1.4863636363636366,48.54545454545455,,,19.75,,194.76923076923077,144.0,,4.5,,51.6,40.0,2022.0
Busiro_Cenral,1045.6125,45.96875,1.4,57.84375,61.333333333333336,,38.25,94.0,263.5,53.2,,17.5,5.0,37.69230769230769,,2022.0
Busiro_Tabina,1038.748275862069,46.13793103448276,1.0386363636363638,89.3103448275862,,,,10.0,203.42857142857142,,,,7.0,11.0,,2022.0
Bususwa,1051.0,43.16129032258065,1.3590909090909091,73.64516129032258,59.833333333333336,,43.5,,148.5,64.0,,68.0,,123.0,41.25,2022.0
Butaahwa,1995.22,52.7,0.845,24.0,75.3,,,,,,,13.375,,17.88888888888889,,2022.0
Butambala,1033.47,42.9,0.4772727272727273,48.6,10.0,,9.8,200.0,346.25,150.0,,2.5,,8.0,,2022.0
Butare,0.0,45.25,0.6041666666666666,70.41666666666667,116.25,,,55.0,96.66666666666667,,,3.25,,40.142857142857146,107.83333333333333,2022.0
Butusi,1540.7666666666667,59.666666666666664,1.7055555555555557,59.44444444444444,399.375,22.333333333333332,,,,,,5.428571428571429,,30.0,,2022.0
Butwoli,1036.5958333333333,34.958333333333336,1.4631578947368422,50.0,25.0,,5.25,,325.45454545454544,250.0,,13.333333333333334,,7.25,167.5,2022.0
Buvundya,1028.0451612903225,44.16129032258065,0.7192307692307692,47.54838709677419,172.0,,5.4,,467.0,141.66666666666666,,10.4,,16.333333333333332,,2022.0
Buyaayo_A,1339.3416666666667,52.25,1.2841666666666667,71.66666666666667,86.33333333333333,,1.0,,,,,,,,,2022.0
Buyaayo_B,0.0,46.0,0.6358333333333334,70.83333333333333,106.0,,,,,,,,,56.0,250.0,2022.0
Buyaayo_C,1555.9666666666665,43.75,1.75,68.33333333333333,88.14285714285714,,5.0,,17.333333333333332,,,9.6,,68.0,62.857142857142854,2022.0
Bwambali,1964.5083333333332,55.0,1.3666666666666665,27.166666666666668,150.9090909090909,,,450.0,,,,4.35,,9.5,,2022.0
Bwegiragye,1040.1033333333332,48.03333333333333,1.5379310344827586,33.43333333333333,167.63636363636363,5.0,2.1,,78.33333333333333,110.0,,3.0,,187.65384615384616,284.29411764705884,2022.0
Bwehare,1666.5,50.25,1.2933333333333332,34.583333333333336,92.27272727272727,,5.5,,,125.0,,3.590909090909091,100.0,53.833333333333336,47.5,2022.0
Bweronde,1299.5,50.083333333333336,1.5374999999999999,17.166666666666668,46.57142857142857,,114.5,,202.0,119.0,,3.75,98.0,47.833333333333336,116.5,2022.0
Bwisanga_Isalo,992.0666666666667,45.083333333333336,1.0499999999999998,46.458333333333336,56.75,,9.1,,448.22222222222223,155.0,,9.666666666666666,,6.0,,2022.0
Gadumire_T/C,1053.9206896551725,50.724137931034484,1.6851851851851851,48.96551724137931,153.33333333333334,,132.25,,246.95652173913044,,,10.0,,43.333333333333336,,2022.0
Galiboleka A,1151.8083333333334,45.416666666666664,1.9333333333333333,29.583333333333332,166.25,,3.875,,131.0,,,5.75,422.5,32.857142857142854,38.25,2022.0
Galiboleka B,1159.9916666666666,38.25,0.5333333333333333,37.833333333333336,145.54545454545453,3.0,,,95.0,,,,,0.0,0.0,2022.0
Galilaya B,1141.5153846153846,35.0,0.46153846153846156,38.15384615384615,297.8,,,,353.6666666666667,,,,,15.0,0.0,2022.0
Ganyinayo,1350.990909090909,54.27272727272727,1.9272727272727272,75.0,138.33333333333334,6.0,8.2,,226.25,,,,25.0,25.666666666666668,10.8,2022.0
Gariraya,1341.675,47.25,1.8929166666666666,40.416666666666664,321.42857142857144,27.0,15.5,,268.0,,,41.5,,,,2022.0
Habuhinga,2026.9750000000001,50.333333333333336,1.0,50.25,158.0,,,,,,,3.9285714285714284,,25.0,,2022.0
Habuhinga_Kishanje,2144.0499999999997,47.25,0.9708333333333333,35.416666666666664,186.83333333333334,25.2,,350.0,,,,4.4375,,6.666666666666667,,2022.0
Igomanda_I,1026.321739130435,46.26086956521739,1.108695652173913,25.0,108.25,8.0,3.9166666666666665,,252.5,,,,47.666666666666664,63.84615384615385,222.85714285714286,2022.0
Igomanda_Ii,1034.0125,46.875,1.28125,18.458333333333332,186.88888888888889,,2.5,,137.0,,,,100.0,148.625,49.666666666666664,2022.0
Iguliryo,1026.7935483870967,42.12903225806452,1.1416666666666666,56.774193548387096,34.0,,16.666666666666668,,329.0,,,8.0,,14.0,,2022.0
Ihunga,2070.976923076923,41.53846153846154,0.5115384615384616,55.76923076923077,115.54545454545455,20.625,,,,,,4.5,,4.666666666666667,,2022.0
Iraaro,1410.8625,40.0,2.59375,83.125,14.0,,5.0,,,260.0,,15.0,,95.0,146.66666666666666,2022.0
Irangara,1697.0333333333335,42.916666666666664,1.5999999999999999,68.75,101.3,,2.0,,,,,2.0,,83.27272727272727,75.0,2022.0
Iraramira_ 1,1211.425,38.916666666666664,0.9375,42.5,128.75,,,,,,,,,,,2022.0
Iraramira_2,1223.5,42.25,1.4583333333333333,84.16666666666667,112.22222222222223,,2.0,,110.0,,,1.6666666666666667,120.0,79.54545454545455,122.72727272727273,2022.0
Iraramira_Central,1266.2333333333333,48.666666666666664,1.1618708333333334,82.08333333333333,70.0,,,,,,,,,51.75,117.14285714285714,2022.0
Ireehe,1034.4333333333334,39.041666666666664,1.0738095238095238,64.20833333333333,72.5,,6.333333333333333,,416.0,,,3.0,,26.22222222222222,70.0,2022.0
Isaalo,1025.0966666666668,40.5,1.2916666666666667,29.6,5.0,,19.333333333333332,,277.0,139.0,,2.0,,31.625,65.0,2022.0
Isoroma,1367.0727272727272,46.90909090909091,2.1999999999999997,50.45454545454545,242.66666666666666,16.333333333333332,2.6999999999999997,,189.28571428571428,,,25.0,,21.875,6.0,2022.0
Kabale,1384.4916666666668,49.0,2.254166666666667,43.333333333333336,164.2,16.833333333333332,7.975,,182.2,,,14.65,,8.75,20.5,2022.0
Kaborogota_A,786.1583333333333,50.416666666666664,1.20625,32.5,97.5,,3.8,,23.0,,,7.1875,,53.75,93.9090909090909,2022.0
Kaborogota_B,0.0,44.22222222222222,1.4058333333333333,51.94444444444444,100.0,,,,,65.0,,,,32.6,80.0,2022.0
Kabungo,1403.6666666666667,48.0,0.6379166666666666,51.25,66.25,,,,29.0,,,,,,37.5,2022.0
Kaburara,1218.2,46.916666666666664,1.5708333333333335,42.5,71.125,,5.0,200.0,21.5,,,7.6,70.0,40.90909090909091,73.33333333333333,2022.0
Kacerere_Bufundi,2050.6384615384613,47.61538461538461,1.0653846153846154,21.0,161.66666666666666,6.333333333333333,,,,,,4.416666666666667,,6.6,,2022.0
Kacheri,495.76000000000005,59.4,1.49,33.0,228.33333333333334,,,,335.0,,,6.0,,17.0,,2022.0
Kacwamuhoro,2116.269230769231,54.07692307692308,0.7346153846153847,56.92307692307692,143.0,11.46875,,150.0,,,,12.125,,6.111111111111111,,2022.0
Kagali,2007.8916666666667,42.833333333333336,0.9058333333333334,23.75,150.66666666666666,18.5,,250.0,,,,5.666666666666667,,12.25,,2022.0
Kagando,1086.75,46.166666666666664,2.3874999999999997,32.916666666666664,190.1818181818182,,4.5,,142.95833333333334,,,5.55,67.66666666666667,60.0,128.57142857142858,2022.0
Kagando_Kyabakara,1029.5827586206897,50.172413793103445,0.7258620689655173,30.344827586206897,91.57142857142857,,3.0,,65.0,57.5,,,35.0,89.375,136.875,2022.0
Kagarama  B,1132.7416666666666,47.5,1.0875000000000001,45.0,160.55555555555554,,3.5,,106.66666666666667,,,2.9166666666666665,130.0,28.3,22.5,2022.0
Kagarama A,1133.7250000000001,52.833333333333336,1.375,68.75,94.9090909090909,10.0,3.2,,90.77777777777777,,,2.4,127.5,17.875,48.0,2022.0
Kagarama_Nyabubare,1083.5733333333333,46.7,1.1620689655172414,38.833333333333336,107.5,5.0,5.5,,65.0,,,,112.5,116.57142857142857,212.63636363636363,2022.0
Kagogo,2004.86,52.9,0.5,46.0,162.0,13.666666666666666,,,,,,6.333333333333333,,3.75,,2022.0
Kagugo_Kacerere,2043.6363636363637,46.81818181818182,0.8409090909090909,65.9090909090909,124.9090909090909,,,,,,,8.55,,7.454545454545454,,2022.0
Kagunga_Kagunga,2123.1846153846154,53.23076923076923,1.1261538461538463,71.15384615384616,123.72727272727273,16.0,,,,,,6.554545454545454,,21.25,,2022.0
Kakari_I_A,1010.7041666666668,44.25,1.1434782608695653,15.041666666666666,234.11764705882354,16.4,7.0,,199.0,,,,60.0,223.25,218.57142857142858,2022.0
Kakari_I_B,1020.3238095238095,50.476190476190474,0.8761904761904761,23.714285714285715,133.73333333333332,,3.0,,103.33333333333333,,,,,102.52380952380952,235.84615384615384,2022.0
Kakari_Ii_A,1029.496551724138,44.172413793103445,1.1788461538461539,33.89655172413793,173.8421052631579,17.0,,105.0,79.5,,,,100.0,142.6315789473684,149.76923076923077,2022.0
Kakari_Ii_B,1007.9347826086956,45.608695652173914,0.9836956521739131,25.130434782608695,130.6875,9.0,,,68.75,,,,100.0,40.90909090909091,62.0,2022.0
Kakundwa,1050.8916666666667,39.0,0.8583333333333334,37.083333333333336,232.3,,,,344.3333333333333,,,3.5,150.0,36.5,43.333333333333336,2022.0
Kakureijo,1243.125,45.0,1.1900000000000002,32.083333333333336,59.5,,,,,130.0,,,,,376.0,2022.0
Kamihunge,2355.0416666666665,47.583333333333336,1.05,104.58333333333333,139.16666666666666,,,125.0,,,,123.57142857142857,,26.25,,2022.0
Kamuhoko,2022.409090909091,42.90909090909091,1.231818181818182,21.363636363636363,205.55555555555554,378.75,,200.0,,,,90.0,,30.0,60.0,2022.0
Kanjenje,1340.9583333333333,44.875,1.0717391304347825,67.08333333333333,95.3157894736842,6.0,3.0,,122.5,,,,,64.16666666666667,40.55555555555556,2022.0
Kantora,2042.4583333333333,43.5,0.8641458333333333,35.0,132.2,8.5,,,,,,26.5,,7.5,,2022.0
Kanyamisinga,1413.59,41.0,1.318,22.5,33.0,,,,,31.0,,17.666666666666668,,5.5,,2022.0
Kanyankyende,1464.4333333333334,40.5,0.5491666666666667,40.416666666666664,53.666666666666664,,0.0,,37.5,,,,,3.6,0.0,2022.0
Kanyashande,1395.2083333333333,42.666666666666664,1.0170833333333333,31.666666666666668,,,2.0,,32.0,100.0,,,,48.0,96.66666666666667,2022.0
Kanyinya_Rugashari,1111.3096774193548,50.96774193548387,1.1806451612903226,50.96774193548387,153.86363636363637,4.0,,100.0,130.47619047619048,,,,480.0,59.46153846153846,51.53846153846154,2022.0
Kanywansande,1103.2,40.96666666666667,1.4017241379310343,26.766666666666666,119.0,,11.222222222222221,,116.4,119.0,,85.0,95.0,28.333333333333332,188.07142857142858,2022.0
Karama_Kinaaba,1105.7083333333333,46.458333333333336,1.3541666666666667,55.0,151.29166666666666,8.0,3.0,,154.77272727272728,,,5.125,460.0,35.54545454545455,90.4,2022.0
Karembo,1048.2124999999999,42.875,0.9291666666666667,31.041666666666668,123.8,11.5,4.0,,122.5,180.0,,5.0,108.16666666666667,64.6842105263158,165.34375,2022.0
Karimongora,883.1166666666667,58.5,1.5916666666666668,35.833333333333336,82.4,,3.0,,40.0,,,10.666666666666666,120.0,63.18181818181818,85.71428571428571,2022.0
Karondo,2004.9363636363635,40.63636363636363,0.7085909090909092,52.81818181818182,66.5,7.5,,220.0,,,,,,10.6,,2022.0
Kasaba A,1363.8999999999999,52.666666666666664,1.8583333333333334,54.166666666666664,189.44444444444446,2.6,17.1,,188.5,,,22.0,,12.0,9.75,2022.0
Kasaba B,1150.6166666666666,38.5,1.2583333333333333,64.16666666666667,136.66666666666666,11.25,6.0,,250.0,,,,,16.166666666666668,,2022.0
Kasaba C,1346.3818181818183,42.27272727272727,1.5636363636363635,30.90909090909091,119.8,12.675,6.0,,286.5,,,6.15,,15.142857142857142,16.5,2022.0
Kasaba T/C,1411.65,55.0,7.1800000000000015,37.7,248.33333333333334,14.5625,13.833333333333334,,244.375,,,8.84,,28.444444444444443,34.25,2022.0
Kashambya_Kacerere,2091.6583333333333,45.666666666666664,1.0166666666666666,15.25,209.0,202.0,,,,,,70.0,,29.0,,2022.0
Kashambya_Mugyera,2027.7888888888888,51.22222222222222,2.3666666666666667,46.666666666666664,165.55555555555554,,,,,,,5.75,,26.666666666666668,,2022.0
Kashamwe,779.9250000000001,47.166666666666664,1.3858333333333333,31.25,58.285714285714285,,2.0,,,,,1.8666666666666665,,40.333333333333336,32.5,2022.0
Kashasha_Ikumba,1977.65,47.3,1.04,61.5,126.75,13.583333333333334,,,,,,4.0,,20.714285714285715,,2022.0
Kashebeya,1416.23,51.9,0.7304999999999999,55.0,69.14285714285714,,6.25,,114.0,133.33333333333334,,3.5,,71.11111111111111,75.55555555555556,2022.0
Kashenyi,1484.2083333333333,35.166666666666664,0.7625000000000001,117.5,198.75,,,,170.0,,,,,120.0,65.0,2022.0
Kashongati,2090.866666666667,48.583333333333336,0.7291666666666666,42.916666666666664,108.0,,,193.33333333333334,,,,11.166666666666666,,7.142857142857143,,2022.0
Kashule,2008.0916666666665,52.583333333333336,0.5875,57.916666666666664,100.0,4.0,,,,,,3.0,,5.25,,2022.0
Kasimbi,1076.175,44.166666666666664,1.4781250000000001,38.958333333333336,136.8095238095238,,6.9,,124.0,,,3.925,126.66666666666667,39.588235294117645,49.285714285714285,2022.0
Kasozi,1116.2916666666667,56.166666666666664,1.3291666666666666,24.166666666666668,304.0,,,,240.0,,,,104.0,44.0,176.66666666666666,2022.0
