pre_village,hhs,hot_pepper_tins_organic_pesticides,derris_tin_organic_pesticides,neem_kg_organic_pesticides,onions_bags_organic_pesticides,tephrosia_kgs_organic_pesticides,garlic_kgs_organic_pesticides,ginger_kgs_organic_pesticides,plastic_tanks_120_ltrs_liquid_manure,sacks_liquid_manure,sisal_rope_liquid_manure,filter_liquid_manure,mortar_&_pestle_liquid_manure,hoes_tools,spades_tools,pick_axes_tools,forked_spades_tools,forked_hoes_tools,pangas_tools,secateurs_tools,gloves_tools,wheelbarrows_tools,trowels_tools,watering_cans_tools,jerrican_tools,spray_pumps_tools,turplins_tools,Beans_seeds,Maize_seeds,Soyabean_seeds,Gnuts_seeds,Onions(Basin)_seeds,Rice_seeds,Field Peas_seeds,Sweet potatoes(Bags),Millet_seeds,Irish Potatoes_seeds,Cassava (bags),Mugavu tree seedlings,Onions (Kg)_seeds,Millet.1_seeds,pre_district,GPS-Altitude,hhh_age,Land_size_agriculture,Time_to_collect_Water_for_Household_use_Minutes,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort,Agriculture Value (USD)
Bugarura,68.0,0.020408163,0.0,0.0,0.040816327,0.010204082,0.346938776,0.346938776,0.040816327,0.040816327,0.040816327,0.040816327,0.040816327,0.08624954,0.08624954,0.08624954,0.0,0.08624954,0.08624954,0.0,0.0,0.040816327,0.081632653,0.081632653,0.0,0.040816327,0.0,4.0,4.0,,4.0,,,,,,,,,,,Kanungu,1471.4166666666667,47.166666666666664,1.3,46.083333333333336,280.7142857142857,,11.0,,1300.0,,,3.0,,48.5,45.0,2021,970.0637485217392
Buhumuriro,72.0,0.020618557,0.0,0.0,0.041237113,0.0,0.371134021,0.371134021,0.0,0.041237113,0.041237113,0.041237113,0.041237113,0.096775494,0.096775494,0.096775494,0.0,0.096775494,0.096775494,0.0,0.0,0.041237113,0.0,0.096775494,0.0,0.0,0.0,3.0,,3.0,3.0,,,,,,,,,,,Rukungiri,0.0,50.75,1.1500000000000001,48.75,145.0,,,250.0,30.0,,,7.0,,148.66666666666666,,2021,1037.761526182353
Bujerengye,72.0,0.027777778,0.0,0.0,0.055555556,0.013888889,0.25,0.25,0.055555556,0.055555556,0.0,0.055555556,0.055555556,0.172711572,0.172711572,0.172711572,0.0,0.172711572,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.055555556,0.0,4.0,3.0,,3.0,,,,,,,,,,,Kanungu,1461.0,49.625,1.209375,33.875,80.0,,,,23.0,,,,,33.6,47.2,2021,650.4112408090909
Burambo,118.0,0.010810811,0.0,0.0,0.021621622,0.0,0.318918919,0.318918919,0.064864865,0.259459459,0.010810811,0.086486486,0.086486486,0.103797858,0.103797858,0.103797858,0.0,0.103797858,0.103797858,0.0,0.0,0.021621622,0.0,0.103797858,0.0,0.0,0.207595716,4.0,4.0,,,,,4.0,,,,,,,,Rubanda,2020.109090909091,50.09090909090909,0.7599999999999999,71.9090909090909,139.33333333333334,5.0,,,,,,5.2,,5.0,,2021,671.5100901083333
Buranda,74.0,0.018691589,0.0,0.0,0.037383178,0.009345794,0.345794393,0.345794393,0.037383178,0.037383178,0.018691589,0.037383178,0.037383178,0.096590612,0.096590612,0.096590612,0.0,0.096590612,0.096590612,0.0,0.0,0.037383178,0.093457944,0.093457944,0.0,0.037383178,0.0,4.0,3.0,,4.0,,,,,,,,,,,Kanungu,1276.0,44.53846153846154,1.75,46.92307692307692,415.625,,10.5,,1300.0,60.0,,7.5,,87.5,97.5,2021,872.9433719095238
Burera,103.0,20.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.038834951,0.038834951,0.140350877,0.140350877,0.140350877,0.0,0.140350877,0.0,0.0,0.0,0.019417476,0.0,0.187134503,0.0,0.019417476,0.0,4.0,,4.0,3.0,,,,,,,,,,,Rukungiri,822.3333333333334,44.833333333333336,1.1708333333333334,32.083333333333336,98.75,,,,32.0,,,8.95,,149.0,100.0,2021,672.1418918708333
Bushure,130.0,0.010810811,0.0,0.0,0.021621622,0.0,0.0,0.0,0.064864865,0.259459459,0.010810811,0.086486486,0.086486486,0.093944212,0.093944212,0.093944212,0.0,0.093944212,0.093944212,0.0,0.0,0.021621622,0.0,0.093944212,0.0,0.0,0.187888423,3.0,3.0,,,,,3.0,,,,,,,,Rubanda,1998.0,54.333333333333336,0.5833333333333334,71.66666666666667,109.33333333333333,7.25,,152.5,,,,27.714285714285715,,,,2021,542.0343980424242
Butoboore,80.0,0.017391304,0.0,0.0,0.034782609,0.0,0.347826087,0.347826087,0.104347826,0.417391304,0.0,0.139130435,0.139130435,0.113206212,0.113206212,0.113206212,0.0,0.113206212,0.113206212,0.0,0.0,0.034782609,0.0,0.113206212,0.0,0.0,0.226412424,4.0,4.0,,,,,4.0,,,,,,,,Rubanda,2069.9727272727273,36.90909090909091,1.5772727272727274,71.36363636363636,184.1,,,140.0,,,,6.833333333333333,,7.0,,2021,750.6216216142857
Butusi,135.0,0.010416667,0.0,0.0,0.020833333,0.0,0.0,0.0,0.0625,0.25,0.0,0.083333333,0.083333333,0.094000668,0.094000668,0.094000668,0.0,0.094000668,0.094000668,0.0,0.0,0.020833333,0.0,0.094000668,0.0,0.0,0.188001337,3.0,3.0,,,,,3.0,,,,,,,,Rubanda,1540.7666666666667,59.666666666666664,1.7055555555555557,59.44444444444444,102.0,11.0,,,,,,3.75,,40.0,,2021,543.2736883911765
Byumba,166.0,0.008695652,0.0,0.0,0.017391304,0.004347826,0.360869565,0.360869565,0.017391304,0.017391304,0.0,0.017391304,0.017391304,0.089712757,0.089712757,0.089712757,0.0,0.089712757,0.089712757,0.0,0.0,0.017391304,0.086956522,0.086956522,0.0,0.017391304,0.0,4.0,4.0,,4.0,,,,,,,,,,,Kanungu,1478.5,47.0,1.183,35.0,488.0,,10.0,,1300.0,60.0,,7.5,,104.0,37.5,2021,802.00833335
Ibarya,87.0,0.022988506,0.0,0.0,0.045977011,0.011494253,0.5,0.5,0.045977011,0.045977011,0.045977011,0.045977011,0.045977011,0.172711572,0.172711572,0.172711572,0.0,0.172711572,0.0,0.0,0.0,0.0,0.0,0.252873563,0.0,0.045977011,0.0,4.0,3.0,,3.0,,,,,,,,,,,Kanungu,1325.5833333333333,48.166666666666664,0.8916666666666666,52.5,333.75,,11.0,,1300.0,,,10.0,,41.0,51.833333333333336,2021,762.4864864590909
Iterero,79.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.050632911,0.050632911,0.050632911,0.050632911,0.050632911,0.224719101,0.187265918,0.0,0.187265918,0.0,0.050632911,0.0,0.0,0.0,0.0,0.0,0.075949367,0.0,0.0,4.0,,4.0,4.0,,,,,,,,,,,Rukungiri,1286.7,47.25,0.875,26.666666666666668,142.14285714285714,4.5,,,200.0,,,4.333333333333333,130.0,45.55555555555556,25.0,2021,724.4769143958333
Kababagi,102.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.039215686,0.039215686,0.0,0.039215686,0.039215686,0.224719101,0.187265918,0.0,0.187265918,0.0,0.039215686,0.0,0.0,0.0,0.0,0.0,0.058823529,0.0,0.0,4.0,,4.0,4.0,,,,,,,,,,,Rukungiri,883.6083333333332,49.0,0.6458333333333334,35.0,123.5,,,,90.0,,,,,61.36363636363637,50.0,2021,680.7273998034483
Kabaranga,77.0,0.025974026,0.0,0.0,0.051948052,0.0,0.0,0.0,0.051948052,0.051948052,0.051948052,0.051948052,0.051948052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,4.0,3.0,,,,,,,,,,,Rukungiri,0.0,47.90909090909091,1.05,91.0909090909091,110.18181818181819,,4.25,,78.57142857142857,,,6.85,,160.0,231.66666666666666,2021,697.0231727652174
Kabingo,86.0,20.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.046511628,0.046511628,0.140350877,0.140350877,0.140350877,0.0,0.140350877,0.0,0.0,0.0,0.023255814,0.0,0.187134503,0.0,0.023255814,0.0,4.0,,4.0,3.0,,,,,,,,,,,Rukungiri,1245.9727272727273,51.45454545454545,0.6590909090909091,53.63636363636363,141.44444444444446,,2.5,,106.0,,,18.166666666666668,,75.0,80.0,2021,631.774915559375
Kabirizi,59.0,0.025,0.0,0.0,0.05,0.0125,0.36875,0.36875,0.05,0.05,0.0,0.05,0.05,0.091671846,0.091671846,0.091671846,0.0,0.091671846,0.091671846,0.0,0.0,0.05,0.1,0.1,0.0,0.05,0.0,4.0,4.0,,4.0,,,,,,,,,,,Kanungu,1475.0,54.916666666666664,1.681,80.0,345.0,,2.0,,1300.0,,,3.0,,73.66666666666667,150.0,2021,771.8716216608696
Kacence,84.5,10.0,0.0,0.0,0.25,0.0,0.25,0.25,0.037735849,0.037735849,0.0,0.0549772285,0.0549772285,0.182534989,0.1638083975,0.0701754385,0.093632959,0.0701754385,0.037735849,0.0,0.0,0.0086206895,0.0,0.0935672515,0.0566037735,0.0086206895,0.0,4.0,,4.0,3.5,,,,,,,,,,,Rukungiri,878.3125,50.875,1.3017708333333333,44.166666666666664,145.15,6.0,7.5,70.0,58.2,,135.0,10.333333333333334,,140.52173913043478,178.7,2021,790.0639419902438
Kacerere,182.0,0.007751938,0.0,0.0,0.015503876,0.003875969,0.352713178,0.352713178,0.015503876,0.015503876,0.0,0.015503876,0.015503876,0.087685066,0.087685066,0.087685066,0.0,0.087685066,0.087685066,0.0,0.0,0.015503876,0.085271318,0.085271318,0.0,0.015503876,0.0,4.0,4.0,,4.0,,,,,,,,,,,Kanungu,1502.0,50.083333333333336,1.175,56.666666666666664,426.22222222222223,,,,1300.0,,,17.0,,44.333333333333336,15.0,2021,942.008445965625
Kafunjo,89.0,0.02247191,0.0,0.0,0.04494382,0.02247191,0.5,0.5,0.02247191,0.04494382,0.0,0.04494382,0.04494382,0.166865316,0.166865316,0.166865316,0.0,0.166865316,0.119189511,0.0,0.0,0.04494382,0.112359551,0.157303371,0.0,0.04494382,0.0,4.0,2.0,,4.0,,,,,,,,,,,Mitooma,0.0,40.7,1.4060000000000001,48.5,66.4,20.75,,,,,,3.0,,30.0,113.33333333333333,2021,966.6413288583334
Kagaana,92.0,0.015151515,0.0,0.0,0.03030303,0.0,0.348484848,0.348484848,0.090909091,0.363636364,0.0,0.121212121,0.121212121,0.113420618,0.113420618,0.113420618,0.0,0.113420618,0.113420618,0.0,0.0,0.03030303,0.0,0.113420618,0.0,0.0,0.226841236,4.0,4.0,,,,,4.0,,,,,,,,Rubanda,1986.8500000000001,39.083333333333336,1.39,58.75,152.25,4.0,,150.0,,,,3.6666666666666665,,4.0,,2021,659.3233591357142
Kagorogoro,99.0,0.02020202,0.0,0.0,0.04040404,0.0,0.0,0.0,0.04040404,0.04040404,0.04040404,0.04040404,0.04040404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,4.0,3.0,,,,,,,,,,,Rukungiri,0.0,35.1,1.403,20.7,101.25,,,90.0,,,,,,93.625,35.0,2021,719.2608695173913
Kagyeyo,116.0,0.012121212,0.0,0.0,0.024242424,0.0,0.351515152,0.351515152,0.0,0.024242424,0.0,0.024242424,0.024242424,0.091659753,0.091659753,0.091659753,0.0,0.091659753,0.091659753,0.0,0.0,0.024242424,0.0,0.091659753,0.0,0.0,0.0,3.0,,3.0,3.0,,,,,,,,,,,Rukungiri,0.0,48.833333333333336,1.0374999999999999,38.333333333333336,120.0,,2.5,,40.0,,,13.0,,129.0,25.0,2021,854.0253378458333
Kahama,68.0,0.029411765,0.0,0.0,0.058823529,0.0,0.0,0.0,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,4.0,3.0,,,,,,,,,,,Rukungiri,1865.5099999999998,42.7,1.61,16.9,136.2,,,,,,,,,61.5,2.0,2021,881.8507637565218
Kahara,97.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.041237113,0.041237113,0.0,0.041237113,0.041237113,0.224719101,0.187265918,0.0,0.187265918,0.0,0.041237113,0.0,0.0,0.0,0.0,0.0,0.06185567,0.0,0.0,4.0,,4.0,4.0,,,,,,,,,,,Rukungiri,1879.1363636363637,56.0,2.1295454545454544,47.09090909090909,127.0,,,,,,,2.0,,69.88888888888889,160.0,2021,758.2082309136364
Kairabwa,132.0,0.015151515,0.0,0.0,0.03030303,0.015151515,0.5,0.5,0.015151515,0.03030303,0.015151515,0.03030303,0.03030303,0.166865316,0.166865316,0.166865316,0.0,0.166865316,0.119189511,0.0,0.0,0.03030303,0.121212121,0.166666667,0.0,0.03030303,0.0,4.0,2.0,,4.0,,,,,,,,,,,Mitooma,590.9166666666666,46.916666666666664,0.975,47.083333333333336,72.14285714285714,,2.0,,,,,2.3333333333333335,,36.333333333333336,9.8,2021,587.1371371555556
Kakarisa,130.0,0.011173184,0.0,0.0,0.022346369,0.0,0.363128492,0.363128492,0.067039106,0.268156425,0.0,0.089385475,0.089385475,0.118186653,0.118186653,0.118186653,0.0,0.118186653,0.118186653,0.0,0.0,0.022346369,0.0,0.118186653,0.0,0.0,0.236373306,4.0,4.0,,,,,4.0,,,,,,,,Rubanda,1905.55,53.833333333333336,1.3455000000000001,88.33333333333333,153.11111111111111,9.2,,,,,,7.857142857142857,,23.333333333333332,,2021,695.7567567054546
Kakimba,53.0,0.037735849,0.0,0.0,0.075471698,0.037735849,0.5,0.5,0.037735849,0.075471698,0.0,0.075471698,0.075471698,0.120378332,0.120378332,0.120378332,0.0,0.120378332,0.120378332,0.0,0.0,0.075471698,0.0,0.113207547,0.0,0.075471698,0.0,4.0,3.0,,4.0,,,,,,,,,,,Mitooma,1157.909090909091,51.09090909090909,1.0738636363636365,34.09090909090909,51.333333333333336,,,,,,,7.0,,53.333333333333336,162.44444444444446,2021,570.670810792
Kakyeza,77.0,0.018348624,0.0,0.0,0.036697248,0.0,0.353211009,0.353211009,0.036697248,0.036697248,0.0,0.036697248,0.036697248,0.109039782,0.109039782,0.109039782,0.0,0.109039782,0.109039782,0.0,0.0,0.036697248,0.0,0.110091743,0.0,0.036697248,0.0,3.0,2.0,,3.0,,,,,,,,,,,Mitooma,1438.3636363636363,50.90909090909091,0.5681818181818182,53.63636363636363,56.857142857142854,20.0,2.0,,75.0,64.0,,3.375,17.0,29.5,9.0,2021,487.83502256
Kamabare,98.0,0.020408163,0.0,0.0,0.040816327,0.020408163,0.5,0.5,0.020408163,0.040816327,0.0,0.040816327,0.040816327,0.120378332,0.120378332,0.120378332,0.0,0.120378332,0.120378332,0.0,0.0,0.040816327,0.0,0.12244898,0.0,0.040816327,0.0,4.0,3.0,,4.0,,,,,,,,,,,Mitooma,562.0833333333334,34.916666666666664,0.5023333333333334,77.5,76.25,,,,,50.0,,3.25,,37.142857142857146,81.11111111111111,2021,744.4453583826087
Kamuhozi,104.0,0.014925373,0.0,0.0,0.029850746,0.0,0.0,0.0,0.029850746,0.029850746,0.0,0.029850746,0.029850746,0.103384126,0.103384126,0.103384126,0.0,0.103384126,0.103384126,0.0,0.0,0.029850746,0.103384126,0.0,0.0,0.0,0.0,3.0,,3.0,3.0,,,,,,,,,,,Rukungiri,1138.99,54.7,1.54,42.5,111.66666666666667,,0.5,150.0,135.0,,,10.0,,103.6,60.0,2021,621.018018
Kanganga,59.0,0.024691358,0.0,0.0,0.049382716,0.0,0.364197531,0.364197531,0.049382716,0.049382716,0.0,0.049382716,0.049382716,0.112431432,0.112431432,0.112431432,0.0,0.112431432,0.112431432,0.0,0.0,0.049382716,0.0,0.12345679,0.0,0.049382716,0.0,3.0,2.0,,3.0,,,,,,,,,,,Mitooma,922.0,66.33333333333333,2.2305555555555556,36.111111111111114,85.75,,2.5,,,,,6.833333333333333,,58.333333333333336,47.0,2021,1205.71824324
Kangyeyo,129.0,0.011049724,0.0,0.0,0.022099448,0.005524862,0.356353591,0.356353591,0.022099448,0.022099448,0.0,0.022099448,0.022099448,0.099540109,0.099540109,0.099540109,0.0,0.099540109,0.099540109,0.0,0.0,0.022099448,0.099447514,0.099447514,0.0,0.022099448,0.0,4.0,3.0,,4.0,,,,,,,,,,,Kanungu,1341.5833333333333,49.916666666666664,2.9575,44.166666666666664,375.0,,,,1300.0,,,,,66.0,87.5,2021,943.235321537931
Kanoni,110.0,0.013333333,0.0,0.0,0.026666667,0.006666667,0.366666667,0.366666667,0.026666667,0.026666667,0.0,0.026666667,0.026666667,0.091153926,0.091153926,0.091153926,0.0,0.091153926,0.091153926,0.0,0.0,0.026666667,0.093333333,0.093333333,0.0,0.026666667,0.0,4.0,4.0,,4.0,,,,,,,,,,,Kanungu,1354.4166666666667,48.25,5.497916666666666,77.5,446.5,,11.0,,1300.0,,,,,20.0,12.5,2021,729.9027026733332
Kanyabutaye,58.0,20.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.068965517,0.068965517,0.140350877,0.140350877,0.140350877,0.0,0.140350877,0.0,0.0,0.0,0.034482759,0.0,0.187134503,0.0,0.034482759,0.0,4.0,,4.0,3.0,,,,,,,,,,,Rukungiri,842.775,42.583333333333336,1.3150000000000002,57.5,171.28571428571428,,,,76.66666666666667,,,19.333333333333332,,40.0,5.0,2021,654.2563208516128
Kanyankwanzi,61.0,0.022222222,0.0,0.0,0.044444444,0.0,0.338888889,0.338888889,0.133333333,0.533333333,0.0,0.177777778,0.177777778,0.110297441,0.110297441,0.110297441,0.0,0.110297441,0.110297441,0.0,0.0,0.044444444,0.0,0.110297441,0.0,0.0,0.220594883,4.0,4.0,,,,,4.0,,,,,,,,Rubanda,2050.4,40.833333333333336,1.21875,92.08333333333333,188.6,9.1,,175.0,,,,7.375,,21.0,,2021,573.02162162
Karokarungi,56.0,0.035714286,0.0,0.0,0.071428571,0.035714286,0.5,0.5,0.035714286,0.071428571,0.0,0.071428571,0.071428571,0.168954593,0.168954593,0.168954593,0.0,0.168954593,0.105596621,0.0,0.0,0.071428571,0.0,0.178571429,0.0,0.071428571,0.0,4.0,,3.0,3.0,,,,,,,,,,,Mitooma,570.1666666666666,42.0,1.6025,43.333333333333336,80.0,,0.0,,,,,,40.0,0.0,,2021,545.3036566117647
Karondo,196.0,0.007142857,0.0,0.0,0.014285714,0.0,0.35,0.333928571,0.042857143,0.171428571,0.007142857,0.057142857,0.057142857,0.106666667,0.106666667,0.106666667,0.0,0.106666667,0.106666667,0.0,0.0,0.014285714,0.0,0.106666667,0.0,0.0,0.177777778,4.0,4.0,,,,,4.0,,,,,,,,Rubanda,2004.9363636363635,40.63636363636363,0.7085909090909092,52.81818181818182,98.0,,,,,,,5.0,,23.333333333333332,,2021,773.7944307939393
Karukare,65.0,0.023255814,0.0,0.0,0.046511628,0.0,0.377906977,0.377906977,0.046511628,0.046511628,0.0,0.046511628,0.046511628,0.116663675,0.116663675,0.116663675,0.0,0.116663675,0.116663675,0.0,0.0,0.046511628,0.0,0.11627907,0.0,0.046511628,0.0,3.0,2.0,,3.0,,,,,,,,,,,Mitooma,916.2727272727273,47.45454545454545,1.2954545454545454,45.45454545454545,150.0,,,,,,,3.0,,74.44444444444444,155.0,2021,390.96193693541665
Karukonjo,102.0,0.014492754,0.0,0.0,0.028985507,0.0,0.0,0.0,0.028985507,0.028985507,0.0,0.028985507,0.028985507,0.098456956,0.098456956,0.098456956,0.0,0.098456956,0.098456956,0.0,0.0,0.028985507,0.098456956,0.0,0.0,0.0,0.0,3.0,,3.0,3.0,,,,,,,,,,,Rukungiri,1526.5166666666667,51.416666666666664,1.3458333333333332,48.333333333333336,135.0,,3.75,,60.0,,,15.0,,114.71428571428571,30.0,2021,627.6362612624999
Kashambya,73.0,0.02739726,0.0,0.0,0.054794521,0.02739726,0.5,0.5,0.02739726,0.054794521,0.0,0.054794521,0.054794521,0.166865316,0.166865316,0.166865316,0.0,0.166865316,0.119189511,0.0,0.0,0.054794521,0.109589041,0.164383562,0.0,0.054794521,0.0,4.0,2.0,,4.0,,,,,,,,,,,Mitooma,1147.3333333333333,51.083333333333336,1.3666666666666665,75.83333333333333,102.14285714285714,,20.0,,,,,2.0,,70.0,236.66666666666666,2021,696.3688688518519
Kashambya_Mugyera,177.0,0.007751938,0.0,0.0,0.015503876,0.0,0.0,0.0,0.046511628,0.186046512,0.0,0.062015504,0.062015504,0.091717448,0.091717448,0.091717448,0.0,0.091717448,0.091717448,0.0,0.0,0.015503876,0.0,0.091717448,0.0,0.0,0.183434896,3.0,3.0,,,,,3.0,,,,,,,,Rubanda,2032.9499999999998,48.875,2.55,50.0,196.66666666666666,13.0,,,,,,7.4,,10.0,,2021,429.65696466076923
Kashasha_Ikumba,187.0,0.007874016,0.0,0.0,0.015748031,0.0,0.368110236,0.368110236,0.047244094,0.188976378,0.0,0.062992126,0.062992126,0.112185977,0.112185977,0.112185977,0.0,0.112185977,0.112185977,0.0,0.0,0.015748031,0.0,0.112185977,0.0,0.0,0.186976628,4.0,4.0,,,,,4.0,,,,,,,,Rubanda,1977.65,47.3,1.04,61.5,107.44444444444444,12.666666666666666,,,,,,5.1875,,26.666666666666668,,2021,713.2235872212121
Kataburaza,96.0,0.015151515,0.0,0.0,0.03030303,0.007575758,0.363636364,0.363636364,0.03030303,0.03030303,0.0,0.03030303,0.03030303,0.101574403,0.101574403,0.101574403,0.0,0.101574403,0.101574403,0.0,0.0,0.03030303,0.106060606,0.106060606,0.0,0.03030303,0.0,4.0,3.0,,4.0,,,,,,,,,,,Kanungu,1343.7272727272727,49.63636363636363,1.945681818181818,16.636363636363637,190.2,,11.0,,1300.0,,,19.333333333333332,,14.666666666666666,28.333333333333332,2021,855.30864862
Katembe,59.0,0.033898305,0.0,0.0,0.06779661,0.016949153,0.25,0.25,0.06779661,0.06779661,0.0,0.06779661,0.06779661,0.185430464,0.169491525,0.185430464,0.0,0.169491525,0.0,0.0,0.0,0.0,0.0,0.169491525,0.0,0.06779661,0.0,5.0,4.0,,5.0,,,,,,,,,,,Kanungu,1324.25,56.75,1.1445833333333333,20.916666666666668,289.7142857142857,,,,1300.0,130.0,,8.25,,96.25,70.83333333333333,2021,735.0467342458334
